character,state,probability
c5,57,0.003168
c5,58,0.004224
c5,59,0.001056
c5,6,0.001056
c5,60,0.001056
c5,61,0.001056
c5,62,0.001056
c5,63,0.011616
c5,64,0.001056
c5,65,0.001056
c5,66,0.001056
c5,67,0.001056
c5,68,0.344245
c5,69,0.016895
c5,7,0.008448
c5,70,0.001056
c5,71,0.001056
c5,72,0.147835
c5,73,0.006336
c5,74,0.001056
c5,75,0.001056
c5,76,0.020063
c5,77,0.017951
c5,78,0.001056
c5,79,0.002112
c5,8,0.003168
c5,80,0.011616
c5,81,0.003168
c5,82,0.003168
c5,83,0.001056
c5,84,0.001056
c5,85,0.005280
c5,86,0.002112
c5,87,0.001056
c5,88,0.023231
c5,89,0.068638
c5,9,0.345301
c5,90,0.013728
c5,91,0.001056
c5,92,0.001056
c5,93,0.001056
c5,94,0.001056
c5,95,0.001056
c5,96,0.011616
c5,97,0.001056
c5,98,0.001056
c5,99,0.013728
c6,10,0.398099
c6,11,0.001056
c6,2,0.129884
c6,3,0.727561
c6,4,0.344245
c6,5,0.014784
c6,6,0.298838
c6,7,0.220697
c6,8,0.435058
c6,9,0.001056
c7,10,0.001056
c7,11,0.001056
c7,12,0.344245
c7,13,0.001056
c7,14,0.008448
c7,15,0.001056
c7,16,0.004224
c7,2,0.016895
c7,3,0.087645
c7,4,0.568110
c7,5,0.643083
c7,6,0.001056
c7,7,0.001056
c7,8,0.447730
c7,9,0.119324
c8,10,0.198522
c8,100,0.001056
c8,101,0.001056
c8,102,0.001056
c8,103,0.036959
c8,104,0.003168
c8,105,0.001056
c8,106,0.038015
c8,107,0.001056
c8,108,0.009504
c8,109,0.025343
c8,11,0.368532
c8,110,0.009504
c8,111,0.030623
c8,112,0.009504
c8,113,0.006336
c8,114,0.005280
c8,115,0.015839
c8,116,0.001056
c8,117,0.001056
c8,118,0.003168
c8,119,0.005280
c8,12,0.008448
c8,120,0.001056
c8,121,0.001056
c8,122,0.001056
c8,123,0.001056
c8,124,0.008448
c8,125,0.009504
c8,126,0.002112
c8,127,0.074974
c8,128,0.004224
c8,129,0.024287
c8,13,0.299894
c8,130,0.001056
c8,131,0.006336
c8,132,0.001056
c8,133,0.001056
c8,134,0.005280
c8,135,0.001056
c8,136,0.058078
c8,137,0.001056
c8,138,0.003168
c8,139,0.003168
c8,14,0.031679
c8,140,0.001056
c8,141,0.034847
c8,142,0.001056
c8,143,0.060190
c8,144,0.002112
c8,145,0.036959
c8,146,0.001056
c8,147,0.005280
c8,148,0.002112
c8,149,0.042239
c8,15,0.220697
c8,150,0.001056
c8,151,0.001056
c8,152,0.001056
c8,153,0.001056
c8,154,0.001056
c8,155,0.011616
c8,156,0.034847
c8,157,0.001056
c8,158,0.008448
c8,159,0.001056
c8,16,0.128828
c8,160,0.003168
c8,161,0.004224
c8,162,0.001056
c8,163,0.026399
c8,164,0.008448
c8,165,0.001056
c8,166,0.001056
c8,167,0.001056
c8,168,0.001056
c8,169,0.010560
c8,17,0.034847
c8,170,0.058078
c8,171,0.002112
c8,172,0.001056
c8,173,0.002112
c8,174,0.027455
c8,175,0.168955
c8,176,0.010560
c8,177,0.001056
c8,178,0.059134
c8,179,0.001056
c8,18,0.014784
c8,180,0.026399
c8,181,0.020063
c8,182,0.001056
c8,183,0.001056
c8,184,0.001056
c8,185,0.001056
c8,186,0.007392
c8,187,0.007392
c8,188,0.001056
c8,189,0.007392
c8,19,0.183738
c8,190,0.010560
c8,191,0.009504
c8,192,0.025343
c8,193,0.010560
c8,194,0.001056
c8,195,0.001056
c8,196,0.001056
c8,197,0.031679
c8,198,0.001056
c8,199,0.003168
c8,2,0.727561
c8,20,0.003168
c8,200,0.001056
c8,201,0.001056
c8,202,0.001056
c8,203,0.004224
c8,204,0.008448
c8,205,0.013728
c8,206,0.001056
c8,207,0.001056
c8,208,0.017951
c8,209,0.001056
c8,21,0.161563
c8,210,0.009504
c8,211,0.001056
c8,212,0.007392
c8,213,0.004224
c8,214,0.001056
c8,215,0.013728
c8,216,0.003168
c8,217,0.004224
c8,218,0.009504
c8,219,0.001056
c8,22,0.024287
c8,220,0.001056
c8,221,0.001056
c8,222,0.003168
c8,223,0.028511
c8,224,0.001056
c8,225,0.017951
c8,226,0.022175
c8,227,0.017951
c8,228,0.036959
c8,229,0.001056
c8,23,0.298838
c8,230,0.022175
c8,231,0.017951
c8,232,0.001056
c8,233,0.010560
c8,234,0.001056
c8,235,0.003168
c8,236,0.001056
c8,237,0.007392
c8,238,0.012672
c8,239,0.008448
c8,24,0.435058
c8,240,0.022175
c8,241,0.006336
c8,242,0.023231
c8,243,0.001056
c8,244,0.017951
c8,245,0.001056
c8,246,0.001056
c8,247,0.008448
c8,248,0.011616
c8,249,0.001056
c8,25,0.012672
c8,250,0.001056
c8,251,0.011616
c8,252,0.001056
c8,253,0.016895
c8,254,0.030623
c8,255,0.011616
c8,256,0.012672
c8,257,0.039071
c8,258,0.014784
c8,259,0.001056
c8,26,0.001056
c8,260,0.001056
c8,261,0.001056
c8,262,0.021119
c8,263,0.032735
c8,264,0.001056
c8,265,0.002112
c8,266,0.006336
c8,267,0.001056
c8,268,0.003168
c8,269,0.001056
c8,27,0.001056
c8,270,0.001056
c8,271,0.001056
c8,272,0.006336
c8,273,0.017951
c8,274,0.003168
c8,275,0.003168
c8,276,0.001056
c8,277,0.001056
c8,278,0.002112
c8,279,0.001056
c8,28,0.007392
c8,280,0.001056
c8,281,0.001056
c8,282,0.022175
c8,283,0.001056
c8,284,0.021119
c8,285,0.001056
c8,286,0.001056
c8,287,0.016895
c8,288,0.001056
c8,289,0.001056
c8,29,0.036959
c8,290,0.001056
c8,291,0.001056
c8,292,0.001056
c8,293,0.001056
c8,3,0.001056
c8,30,0.001056
c8,31,0.001056
c8,32,0.002112
c8,33,0.232313
c8,34,0.373812
c8,35,0.001056
c8,36,0.129884
c8,37,0.085533
c8,38,0.010560
c8,39,0.104541
c8,4,0.116156
c8,40,0.001056
c8,41,0.002112
c8,42,0.001056
c8,43,0.178458
c8,44,0.059134
c8,45,0.070750
c8,46,0.162619
c8,47,0.001056
c8,48,0.001056
c8,49,0.028511
c8,5,0.398099
c8,50,0.095037
c8,51,0.001056
c8,52,0.030623
c8,53,0.002112
c8,54,0.001056
c8,55,0.149947
c8,56,0.095037
c8,57,0.047518
c8,58,0.001056
c8,59,0.001056
c8,6,0.025343
c8,60,0.001056
c8,61,0.001056
c8,62,0.006336
c8,63,0.019007
c8,64,0.004224
c8,65,0.005280
c8,66,0.017951
c8,67,0.344245
c8,68,0.017951
c8,69,0.054910
c8,7,0.275607
c8,70,0.032735
