character,state,probability
c6,9,0.045407
c7,10,0.001056
c7,11,0.277719
c7,12,0.102429
c7,13,0.025343
c7,14,0.001056
c7,15,0.072862
c7,16,0.001056
c7,17,0.192186
c7,18,0.001056
c7,19,0.176346
c7,2,0.229145
c7,20,0.014784
c7,21,0.003168
c7,22,0.001056
c7,23,0.327350
c7,24,0.049630
c7,25,0.006336
c7,26,0.162619
c7,27,0.004224
c7,28,0.081309
c7,29,0.084477
c7,3,0.001056
c7,30,0.001056
c7,31,0.252376
c7,32,0.071806
c7,4,0.001056
c7,5,0.383316
c7,6,0.158395
c7,7,0.298838
c7,8,0.006336
c7,9,0.001056
c8,10,0.005280
c8,11,0.368532
c8,12,0.198522
c8,13,0.038015
c8,14,0.275607
c8,15,0.168955
c8,16,0.116156
c8,17,0.014784
c8,18,0.010560
c8,19,0.398099
c8,2,0.001056
c8,20,0.001056
c8,21,0.001056
c8,22,0.047518
c8,23,0.232313
c8,24,0.049630
c8,25,0.435058
c8,26,0.001056
c8,27,0.128828
c8,28,0.021119
c8,29,0.002112
c8,3,0.727561
c8,30,0.052798
c8,4,0.373812
c8,5,0.158395
c8,6,0.298838
c8,7,0.299894
c8,8,0.220697
c8,9,0.129884
c9,10,0.007392
c9,11,0.087645
c9,12,0.074974
c9,13,0.162619
c9,14,0.004224
c9,15,0.244984
c9,16,0.038015
c9,17,0.335797
c9,18,0.034847
c9,19,0.221753
c9,2,0.568110
c9,20,0.447730
c9,21,0.010560
c9,22,0.147835
c9,23,0.020063
c9,24,0.004224
c9,25,0.002112
c9,26,0.004224
c9,27,0.008448
c9,28,0.003168
c9,29,0.002112
c9,3,0.345301
c9,30,0.003168
c9,4,0.643083
c9,5,0.158395
c9,6,0.006336
c9,7,0.002112
c9,8,0.119324
c9,9,0.327350
c10,10,0.002112
c10,11,0.327350
c10,12,0.299894
c10,13,0.006336
c10,14,0.162619
c10,15,0.001056
c10,16,0.012672
c10,17,0.001056
c10,18,0.143611
c10,19,0.029567
c10,2,0.176346
c10,20,0.298838
c10,21,0.086589
c10,22,0.013728
c10,23,0.002112
c10,24,0.001056
c10,25,0.003168
c10,26,0.072862
c10,27,0.002112
c10,28,0.003168
c10,3,0.383316
c10,4,0.043295
c10,5,0.158395
c10,6,0.071806
c10,7,0.001056
c10,8,0.277719
c10,9,0.002112
c11,10,0.002112
c11,11,0.198522
c11,12,0.017951
c11,13,0.003168
c11,14,0.030623
c11,15,0.001056
c11,16,0.168955
c11,17,0.237592
c11,18,0.368532
c11,19,0.002112
c11,2,0.373812
c11,20,0.398099
c11,21,0.104541
c11,22,0.001056
c11,23,0.077086
c11,24,0.020063
c11,25,0.028511
c11,26,0.058078
c11,27,0.220697
c11,28,0.344245
c11,29,0.299894
c11,3,0.727561
c11,30,0.095037
c11,31,0.026399
c11,32,0.232313
c11,33,0.036959
c11,34,0.004224
c11,35,0.024287
c11,36,0.116156
c11,37,0.047518
c11,38,0.036959
c11,39,0.010560
c11,4,0.119324
c11,40,0.298838
c11,41,0.002112
c11,42,0.007392
c11,43,0.275607
c11,44,0.003168
c11,45,0.002112
c11,46,0.077086
c11,47,0.009504
c11,48,0.218585
c11,49,0.149947
c11,5,0.158395
c11,50,0.162619
c11,51,0.002112
c11,52,0.005280
c11,53,0.007392
c11,6,0.435058
c11,7,0.168955
c11,8,0.129884
c11,9,0.322070
c12,10,0.345301
c12,11,0.003168
c12,12,0.009504
c12,13,0.001056
c12,14,0.001056
c12,15,0.327350
c12,16,0.001056
c12,17,0.568110
c12,18,0.244984
c12,19,0.061246
c12,2,0.643083
c12,20,0.119324
c12,21,0.014784
c12,22,0.279831
c12,23,0.032735
c12,24,0.082365
c12,25,0.001056
c12,26,0.001056
c12,27,0.001056
c12,3,0.068638
c12,4,0.447730
c12,5,0.010560
c12,6,0.033791
c12,7,0.008448
c12,8,0.034847
c12,9,0.335797
c13,10,0.299894
c13,11,0.383316
c13,12,0.298838
c13,13,0.002112
c13,14,0.001056
c13,15,0.020063
c13,16,0.001056
c13,17,0.001056
c13,18,0.001056
c13,19,0.008448
c13,2,0.277719
c13,3,0.049630
c13,4,0.043295
c13,5,0.001056
c13,6,0.252376
c13,7,0.327350
c13,8,0.176346
c13,9,0.003168
c14,10,0.034847
c14,11,0.299894
c14,12,0.435058
c14,13,0.001056
c14,14,0.003168
c14,15,0.001056
c14,16,0.057022
c14,17,0.237592
c14,18,0.077086
c14,19,0.373812
c14,2,0.727561
c14,20,0.034847
